"","title","price","age","height","source"
"66","15.3hh 8 year old chestnut gelding for sale",9000,8,15.3,"Horsequest"
"67","Super Safe Reliable Schoolmistress",7950,10,15.3,"Horsequest"
"68","Bay, mare, 16.2hh, Conny X Warmblood, 5 yrs old",6000,5,16.2,"Horsequest"
"69","153cm Roan Connemara Gelding",8000,9,15,"Horsequest"
"70","Casino",3250,4,15.2,"Horsequest"
"71","SJ / EVENTING PRSPECT",6750,3,16.1,"Horsequest"
"72","Milly",5950,12,16.1,"Horsequest"
"73","Advanced event horse",18000,15,16.1,"Horsequest"
"74","15’1hh Super consistent, experienced & competitive Connie",16000,16,15.0590551181102,"Horsequest"
"75","Boycie",3500,12,16.2,"Horsequest"
"76","Panda",5750,13,15,"Horsequest"
"77","Maurice",6500,6,16.1,"Horsequest"
"78","Stunning Dressage / Allrounder Horse",7995,11,16.3,"Horsequest"
"79","Super star dressage horse",7500,15,14.2,"Horsequest"
"80","Show jumper",12000,11,16.1,"Horsequest"
"81","Quality Gelding",15000,9,16.2,"Horsequest"
"82","Event / Show Jump",14995,8,17,"Horsequest"
"83","Stunning warmblood mare",5950,5,17.1,"Horsequest"
"84","All rounder",2500,6,16.1,"Horsequest"
"85","Pretty Plot Blue Filly",4800,1,15.1,"Horsequest"
"86","Absolutely Stunning",22000,7,15.8956692913386,"Horsequest"
"87","Super Hunting/competition pony",6500,9,14.3,"Horsequest"
"88","*BACK FOR SALE DUE TO SERIOUS TIMEWASTER - Ri Qual - Amateurs Dream / All-round Fun Horse",7500,8,15.1,"Horsequest"
"89","Lightweight show cob",4200,4,15.1574803149606,"Horsequest"
"90","Competitive Amateurs Dream Dressage star",15000,3,15.3,"Horsequest"
"91","Talented rising 4 year old",12000,4,16,"Horsequest"
"92","Pretty Bay Mare",9250,10,16,"Horsequest"
"93","Quality Dressage / Eventer",7000,7,16.1,"Horsequest"
"94","A GREAT HORSE TO BE WITH",4500,15,16,"Horsequest"
"95","Super fun hunting and jumping mare",9000,8,15.1,"Horsequest"
"96","TALENTED XC MACHINE",20000,8,15.1,"Horsequest"
"97","Exclusive Eclipse",15000,4,16.2,"Horsequest"
"98","Super Safe Fun Horse",12000,10,18,"Horsequest"
"99","Super FEI Prospect",28000,4,16.2,"Horsequest"
"100","Stunning allrounder eventing prospect",4500,6,15.3,"Horsequest"
"101","Super straight delightful little chap",4000,4,16,"Horsequest"
"102","Oliver Obolensky (CORNET OBOLENSKY X Argentinus) x HARLEY VDL",6500,2,15.3,"Horsequest"
"103","Super Allrounder",8250,8,17,"Horsequest"
"104","Recently backed 3 yr old: San Amour - Tuschinski - Ferro",15000,3,16.2,"Horsequest"
"105","‘Ecuador W Z’ - Stunning and Kind 4 Year Old",12500,4,16.2,"Horsequest"
"106","Competition prospect for sale",7000,5,16.2,"Horsequest"
"107","Grand Prix Potential",25000,8,16.2,"Horsequest"
"108","One for the future",14500,4,16.5354330708661,"Horsequest"
"109","Striking Showjumping Schoolmistress",2750,16,16.1,"Horsequest"
"110","NOVICE HEAVYWEIGHT HUNTER",12000,5,17.1,"Horsequest"
"111","Cevin Z filly",4000,2,16,"Horsequest"
"112","Talented competition pony",10000,6,15,"Horsequest"
"113","Future Star",9500,3,16.1,"Horsequest"
"114","Top Class Small Hunter / Intermediate",12000,12,15.2,"Horsequest"
"115","PERFECT SCHOOLMASTER",20000,15,16.1,"Horsequest"
"116","Stunning Schoolmaster",4000,17,15.1,"Horsequest"
"117","Quality Eventer / Show jumper",12000,11,15.3,"Horsequest"
"118","Bred to Event",7000,9,16.2,"Horsequest"
"119","Experienced grade B showjumper",8000,13,16,"Horsequest"
"120","Top Quality Handsome Allrounder with a Great Temperament",9500,9,17.2,"Horsequest"
"121","Top class horse on all levels",35000,9,16,"Horsequest"
"122","Jasmine Diamond Mist",10000,10,15.2,"Horsequest"
"123","Classy and Sane Allrounder",6500,10,16.2,"Horsequest"
"124","Gorgeous 8 year old Cob!",2600,8,14.2,"Horsequest"
"125","YOUNG KWPN DRESSAGE HORSE",30000,5,16.2,"Horsequest"
"126","Extremely handsome & talented gelding by Bordeaux",30000,5,16.3,"Horsequest"
"127","Classiness I",20000,7,17,"Horsequest"
"128","Handsome Gentlemen with lovely movements",8000,9,18,"Horsequest"
"129","Unspoilt Homebred 2yo",15000,2,16.2,"Horsequest"
"130","Very talented Dressage / Show Jumping mare",15000,10,16.2,"Horsequest"
"131","FLOWER DE GROZILLES",10000,9,15.2,"Horsequest"
"132","Lovely grey mare",7650,10,16.2,"Horsequest"
"133","Big horse bigger jump",20000,12,17.3,"Horsequest"
"134","Stunning Young Event/Allrounder",8500,5,16,"Horsequest"
"135","the most beautiful Irish Draught gelding!",7950,4,16.2,"Horsequest"
"136","PJ – stunning purebred Connemara gelding!",5950,4,14.7637795275591,"Horsequest"
"137","TYNAN DAWN",10000,8,17,"Horsequest"
"138","purebred Irish Draught gelding!",7950,4,16.2,"Horsequest"
"139","Nemo – supercob!",4500,5,15,"Horsequest"
"140","Superb Schoolmaster!",13500,13,15.1,"Horsequest"
"141","Sane and sensible allrounder!",8500,10,15,"Horsequest"
"142","Lots of ability!",8750,5,15.1,"Horsequest"
"143","Amateurs dream!",9500,8,16.2,"Horsequest"
"144","Toby - Top Event / showjumping prospect",10500,6,16.3,"Horsequest"
"145","Class mare",6950,5,16.1,"Horsequest"
"146","Harry",6995,8,16.2,"Horsequest"
"147","130 SHOWJUMPER OUT OF INTERNATION SJ MARE, BY PARCO",25000,7,16.2,"Horsequest"
"148","One in a Million",9500,8,16.3,"Horsequest"
"149","Stunning Competition Horse",9950,8,16.1,"Horsequest"
"150","2yr old bay gelding",6500,2,16.1,"Horsequest"
"151","Ozzie - Ultimate schoolmaster",12500,11,16.3,"Horsequest"
"152","Super Quality Mare",7000,10,15.3,"Horsequest"
"153","Extremely Talented Eventer",15000,7,17,"Horsequest"
"154","Stunning 5 Y/O gelding",11000,5,17,"Horsequest"
"155","Show Jump / Event",8500,8,16.1,"Horsequest"
"156","Ballyard Harlequin",15000,7,16.3,"Horsequest"
"157","Top Class Working Hunter",18000,8,17,"Horsequest"
"158","-Check it out-",10000,5,16.3,"Horsequest"
"159","Connemara x TB mare",1200,9,15.1,"Horsequest"
"160","Quality Young Competition Horse",25000,6,16.3,"Horsequest"
"161","PRE Stallion who loves to please.",23000,11,16,"Horsequest"
"162","Quality Sports Horse",3000,1,15.2,"Horsequest"
"163","Target - Quality Cob",4750,15,15.3,"Horsequest"
"164","Super Quality ID Mare",5750,6,16,"Horsequest"
"165","Hakon",10000,8,17,"Horsequest"
"166","16.2 rising 7yo Zangersheid mare",10000,7,16.2,"Horsequest"
"167","Tubbertelly Echo",4000,3,16,"Horsequest"
"168","Striking gelding",4000,4,16.1,"Horsequest"
"169","Stunning Schoolmaster",2500,17,16.2,"Horsequest"
"170","KWPN By High Five / Apache (Just Arrived)",15000,3,16,"Horsequest"
"171","Super-scopey, totally genuine Eventer or Top Showjumper",30000,10,17.2,"Horsequest"
"172","Part bred ID gelding",10000,6,15.2,"Horsequest"
"173","Stunning PRE Gelding",5500,13,16,"Horsequest"
"174","One in a million",16750,9,16.1,"Horsequest"
"175","Dressage Prospect",4000,11,16.2,"Horsequest"
"176","SUCCESSFUL TALENTED ADVANCED EVENTER",40000,10,16.2,"Horsequest"
"177","Southills Anastasia",3500,7,15,"Horsequest"
"178","Potential Dressage / Event by Royaldik",6000,4,17,"Horsequest"
"179","Lovely project horse",4000,8,17,"Horsequest"
"180","Unbacked hombred 3 yr old",10000,3,16.2,"Horsequest"
"181","Flashy 7yo Grey Gelding",22000,7,17.2,"Horsequest"
"182","Beautiful, Coloured Cob Mare",950,4,13.2,"Horsequest"
"183","**** MSJ Quiana ****",25000,9,16.3,"Horsequest"
"184","Quality Dressage Yearling Colt",8500,1,16.2,"Horsequest"
"185","Lovely Event type",7500,5,16.1,"Horsequest"
"186","Attractive Event / Show jumper",6500,7,15.2,"Horsequest"
"187","Stunning Novice Event Horse",20000,10,17,"Horsequest"
"188","EXCITING FUTURE HORSE",7000,4,16.2,"Horsequest"
"189","Potential Novice/U18 Eventer",20000,7,16,"Horsequest"
"190","Chantilly Lace",1750,8,14.1,"Horsequest"
"191","Global Promise",45000,7,16.1,"Horsequest"
"192","Heart of gold",12000,8,15.2,"Horsequest"
"193","FABIENNE 507 - TOP LEVEL PROSPECT",65000,7,16.2,"Horsequest"
"194","EUPHORIE - THE ULTIMATE SCHOOLMISTRESS",50000,8,17,"Horsequest"
"195","MOLLY",5300,4,16.1,"Horsequest"
"196","True gent",15000,8,17,"Horsequest"
"197","Don’t be Heartbroken and miss out...",6750,9,16.1,"Horsequest"
"198","Amelusina 58",5500,15,16.2,"Horsequest"
"199","BANKSY (PROJECT or could happily live as a companion!)",1200,6,15.1,"Horsequest"
"200","Event / Show Prospect",6000,3,15.4527559055118,"Horsequest"
"201","Stunning 3 year old filly",15000,3,16,"Horsequest"
"202","Attractive chap that will turn his hoof to anything",8250,7,16.3,"Horsequest"
"203","Amateur Riders Dream",12000,6,16.2,"Horsequest"
"204","Miami D",8500,3,16,"Horsequest"
"205","Gorgeous 3 year old future eventer",14000,3,16.1,"Horsequest"
"206","He has it all!",25000,4,16.1,"Horsequest"
"207","Lady",4750,15,16.3,"Horsequest"
"208","Proper Irish Gelding",4000,3,16.1,"Horsequest"
"209","DELHURENS UPSEY DAISY",18500,11,15.1,"Horsequest"
"210","Super Cob",4550,4,14,"Horsequest"
"211","15.2hh Striking Piebald Mare",6750,8,15.2,"Horsequest"
"212","Beautiful 3 year old Connie X looking for the perfect home.",4500,3,15.2,"Horsequest"
"213","Established Elementary Dressage Horse",9950,11,16.2,"Horsequest"
"214","Stunning 3 year old mare by Bernhard",5950,3,15.2,"Horsequest"
"215","Alouette Des Bois",20000,10,16.5354330708661,"Horsequest"
"216","Love Scandel C.S",9000,4,16,"Horsequest"
"217","Serious Junior / YR / Amateur Event Horse",23000,5,16,"Horsequest"
"218","Short Clough Master Class",30000,7,17,"Horsequest"
"219","Beautiful int show hunter / working hunter",6500,3,15.1,"Horsequest"
"220","Super talented easy mare SJ / BD / BE",15000,7,16,"Horsequest"
"221","One in a Million!",10000,7,16.1,"Horsequest"
"222","Super Allrounder / Working Hunter",6000,4,15.2,"Horsequest"
"223","One for the Future",20000,3,16.2,"Horsequest"
"224","Super flashy 4 year old Warmblood mare",3000,4,16.2,"Horsequest"
"225","Phenomenal jumper by Vangelis S",12000,2,16.2,"Horsequest"
"226","Quality Big Horse",9500,7,17,"Horsequest"
"227","Top Class Eventer / Working Hunter Prospect",16000,6,17,"Horsequest"
"228","'Fil'",10000,10,16.1,"Horsequest"
"229","Quality Irish Bred Competition Horse",15500,6,16.3,"Horsequest"
"230","PAULDARY ZULU Striking AES Gelding",4500,5,15.3,"Horsequest"
"231","STUNNING TALENTED COMPETITION HORSE",10500,6,16.3,"Horsequest"
"232","EXCEPTIONAL 5 YEAR OLD MARE",20000,5,16,"Horsequest"
"233","Top class prospect!!",7000,4,16.2,"Horsequest"
"234","Glenkeeran Ruby Cruz",28000,7,16,"Horsequest"
"235","Incognito",28000,7,16.2,"Horsequest"
"236","FRED",7995,8,16.1,"Horsequest"
"237","Top working hunter / event prospect",7500,5,15.2,"Horsequest"
"238","IRISH SPORTS HORSE GELDING",6500,4,16,"Horsequest"
"239","Striking Coloured Gelding",10000,11,15.2,"Horsequest"
"240","PAURIC",4850,11,15,"Horsequest"
"241","POTENTIAL GRAND PRIX HORSE",10000,1,16.2,"Horsequest"
"242","Potential event horse",6500,5,16.1,"Horsequest"
"243","Stunning Irish Small Riding Horse",5250,4,15.2,"Horsequest"
"244","16.3 7yo Irish Mare",7500,7,16.3,"Horsequest"
"245","Stunning Dressage / Allrounder",6800,10,16.2,"Horsequest"
"246","Ronnie- BFG Cob 15.3 to make 16.1/2",4000,3,15.3,"Horsequest"
"247","Super Allrounder",6000,10,16,"Horsequest"
"248","Grassroots / Novice Eventer",15000,10,16.1,"Horsequest"
"249","Shannondale Aero",25000,6,16.2,"Horsequest"
"250","Beautiful Multi purpose bred",10000,2,16.2,"Horsequest"
"251","Serious Event / Show jump prospect",9750,7,16.2,"Horsequest"
"252","GENTLE GIANT WITH A SUPER TEMPERAMENT",22000,5,17.2,"Horsequest"
"253","SUPER STRAIGHTFORWARD",24000,8,16.3,"Horsequest"
"254","Perfectly marked and an exceptional Gd moving gelding",1600,2,14.2,"Horsequest"
"255","Quality Glamourdale Mare",8500,4,16,"Horsequest"
"256","Ideal teenagers fun / competition horse",9500,9,15.3,"Horsequest"
"257","Stunning Blue & White HOYS Quality Traditional Cob",5000,4,14,"Horsequest"
"258","Luidam x Cruising lines",5500,6,16.2,"Horsequest"
"259","Smart Young Sport Horse",7500,4,15.1,"Horsequest"
"260","Top horse for age classes 2020 / 2021",12500,4,15.2,"Horsequest"
"261","FUTURE STAR FOR EVENTING/SJ",15000,6,16.1,"Horsequest"
"262","Oversized Connie of Your Dreams",5500,3,15,"Horsequest"
"263","Badminton Grassroots Prospect",13000,6,16,"Horsequest"
"264","Our Last Rolo",7500,3,15,"Horsequest"
"265","BEAUTIFUL SECTION D FILLY",2000,2,15,"Horsequest"
"266","My beautiful boy!! 'Maverick'",6500,5,16.2,"Horsequest"
"267","Chilled Showjumper",11500,11,16.2,"Horsequest"
"268","ROMEO",4000,15,14.3,"Horsequest"
"269","Stunning Quality Potential Allrounder",5500,4,16,"Horsequest"
"270","DOLLY",4500,16,15.2,"Horsequest"
"271","Super 5 yr old Showjump / Event horse",12500,5,16,"Horsequest"
"272","Tango",7000,6,16.1,"Horsequest"
"273","Finley",8750,5,15,"Horsequest"
"274","Couldoran",6500,11,16.1,"Horsequest"
"275","Stunning smart young horse with huge potential",12500,4,15.2,"Horsequest"
"276","Top Quality 5 year old by Furisto’s Diamond",7500,5,16.1,"Horsequest"
"277","Stunning Quality Allrounder",9000,8,16.1,"Horsequest"
"278","15.2 10yr Connemara mare",5500,10,15.2,"Horsequest"
"279","2015 Sandreo mare",14000,5,16.7322834645669,"Horsequest"
"280","16.2hh mare Cruising bloodlines",3500,8,16.2,"Horsequest"
"281","Fun All rounder",5200,6,14.2,"Horsequest"
"282","Quality Traditional Cob",2400,6,14.2,"Horsequest"
"283","Snowy",8000,8,17,"Horsequest"
"284","Stunning Homebred 3 year old filly by Hochadel",7500,3,16.2,"Horsequest"
"285","Handsome 2yr old Colt Frascino x Royalistin",8000,2,16.1,"Horsequest"
"286","Super safe dressage and hunting cob",10000,9,16.1,"Horsequest"
"287","Stunning Akhal-Teke Mare",7500,6,16.1,"Horsequest"
"288","Exciting yearling Filly",3600,1,16.2,"Horsequest"
"289","Neville",7000,6,16.2,"Horsequest"
"290","Duncan (Little Dandy)",9750,10,15,"Horsequest"
"291","Real confidence giver in all disciplines",15000,10,17,"Horsequest"
"292","Dressage horse",8000,7,16.7322834645669,"Horsequest"
"293","Top Quality Stunning Event Horse",15000,6,16.1,"Horsequest"
"294","Kateusie",14595,5,17,"Horsequest"
"295","Freddy",7000,11,16.1,"Horsequest"
"296","Quality 2 yo TB gelding with a big future",4000,2,16.1,"Horsequest"
"297","Dressage prospect",8750,7,16.1,"Horsequest"
"298","Genuine competition horse / allrounder",8500,7,15.2,"Horsequest"
"299","Lapitola S",15995,4,15.2,"Horsequest"
"300","Bolero VIII",40000,9,16.3,"Horsequest"
"301","Super Competition Horse / Fun Allrounder",9950,8,16,"Horsequest"
"302","Wyatt",8000,9,16.2,"Horsequest"
"303","Gorgeous 9 years old 16hh dark bay mare",25000,9,16,"Horsequest"
"304","Dream Winning Dressage horse",40000,9,16.1,"Horsequest"
"305","4 year old",2750,4,15.2,"Horsequest"
"306","Top Dressage Prospect",16500,6,17,"Horsequest"
"307","Gorgeous, Super talented 6yr old dark bay gelding for sale",7500,6,17.2,"Horsequest"
"308","Wystone fandango",3000,3,14.1,"Horsequest"
"309","Riding Club / Allrounder",8500,9,15.3,"Horsequest"
"310","Bella",8000,5,15.2,"Horsequest"
"311","The Main Man",7750,10,16,"Horsequest"
"312","Part Bred Connemara",4250,4,15,"Horsequest"
"313","The actual amateurs dream.. like, really...",25000,11,16.2,"Horsequest"
"314","Impact TN (Sir Donnerhall) x Goodtimes",12500,3,16.4370078740157,"Horsequest"
"315","Talented Dressage / SJ prospect",14500,7,15.3,"Horsequest"
"316","TB x",2100,2,14.3,"Horsequest"
"317","SCARRAGH SUN RICH",5,7,16.7322834645669,"Horsequest"
"318","TALLYHO MHS",2.5,7,16.7322834645669,"Horsequest"
"319","TOLAN R GELDING",2.5,5,17,"Horsequest"
"320","MOOREFIELD CLOVER",3500,8,16.5354330708661,"Horsequest"
"321","Talented showjumper / dresssage horse",8000,8,15.2,"Horsequest"
"322","FRANK",2.5,5,16.0433070866142,"Horsequest"
"323","AHARE OLYMPIC FLEMMENCIO",5,8,15.3,"Horsequest"
"324","RATHDEADON GOLD",2.5,6,17.2,"Horsequest"
"325","Young riders dream",18500,8,17.1,"Horsequest"
"326","Super ROR showjumper / alrounder",12000,8,16.1,"Horsequest"
"327","The Time Has Come For You to Help Someone Else's Confidence Soar",9500,15,16.2,"Horsequest"
"328","Event Prospect",5500,1,16.2,"Horsequest"
"329","Superb Riding club Allrounder",4250,12,16.2,"Horsequest"
"330","BEN",8850,9,16.1,"Horsequest"
"331","CLAUDIUS",650,11,17,"Horsequest"
"332","Bridgette – Irish Sport Horse",9000,7,16.3,"Horsequest"
"333","KEYSTONE RHONDEO X DON FREDERICO",22000,7,16.2,"Horsequest"
"334","Talented SJ / Event Prospect",7500,6,16.2,"Horsequest"
"335","Powered by diamonds",6000,3,15,"Horsequest"
"336","Polite Allrounder",5,11,16.1,"Horsequest"
"337","* Exceptionally Safe Mare*",11000,4,16.2,"Horsequest"
"338","Super little event horse",12000,8,15.1,"Horsequest"
"339","SASSY PONY LOOKING FOR A SASSY NEW OWNER",3750,13,14.2,"Horsequest"
"340","Super flashy",3950,2,15.3,"Horsequest"
"341","Simply stunning",7500,2,16,"Horsequest"
"342","Something very special",7500,2,16.3,"Horsequest"
"343","Rich Lady K",8750,10,16,"Horsequest"
"344","Top eventer / show jumper prospect",9950,6,15.3,"Horsequest"
"345","Ashtree mac",5750,6,15.2,"Horsequest"
"346","Dantes Inferno (Flint)",10000,12,16,"Horsequest"
"347","EXCITING OPPORTUNITY",25000,9,16.3,"Horsequest"
"348","PIPPA",8000,10,16,"Horsequest"
"349","Extremely Talented and Flashy Horse",20000,9,16.1,"Horsequest"
"350","ONCE IN A LIFETIME SCHOOL MASTER",8950,17,17,"Horsequest"
"351","Super Smart and Sensible Event / SJ / Dressage",19000,6,16.1,"Horsequest"
"352","Dutch Warmblood Schoolmaster BSJA registered",4500,16,17,"Horsequest"
"353","Serious 4* horse",75000,13,16.1,"Horsequest"
"354","15hh Connemara Gelding 11 years Ideal Companion",1000,11,15,"Horsequest"
"355","Very pretty pony club pony.",4500,13,14.1,"Horsequest"
"356","Super Grassroots / PC / RC allrounder",20000,11,16.2,"Horsequest"
"357","MASTER PLAN II",3500,1,14.1,"Horsequest"
"358","Top Showjumping Mare Full Of Potential For Sport & Breeding",10000,5,16.4370078740157,"Horsequest"
"359","Smart quality irish horse",4500,7,15.2,"Horsequest"
"360","Steady Family Friend",5250,5,15.2,"Horsequest"
"361","BEAUTIFUL TALENTED SUCCESSFUL 'GENTLEMAN'",25000,12,16.1,"Horsequest"
"362","Stunning Oldenburg Broodmare",6500,3,16.2,"Horsequest"
"363","MAXIMUS",7750,3,16.2,"Horsequest"
"364","Stunning 15h Bay Mare",6750,11,15,"Horsequest"
"365","Stunning 14 yo Small tour gelding by 007. (Rubenstein) Working Grand Prix. YR prospect. Kind easygoing nature.",35000,14,16.1,"Horsequest"
"366","Super dressage horse",35000,4,17.1,"Horsequest"
"367","Amazing showjumper for sale",35000,8,16.2,"Horsequest"
"368","SMART AND TALENTED FUTURE STAR",12000,6,16.2,"Horsequest"
"369","TOP CLASS WELSH SECTION D",3000,3,14.3,"Horsequest"
"370","Classy Potential Event / Allrounder",7500,4,16,"Horsequest"
"371","Phenomenal schoolmistress",5500,10,17.1,"Horsequest"
"372","SUPER SAFE AND EXPERIENCED ALL ROUNDER",5500,14,15,"Horsequest"
"373","GENUINE COMPETITION / SJ / EVENT",15000,6,16.2,"Horsequest"
"374","Fantastic Eventer / All rounder",6500,5,15.3,"Horsequest"
"375","Super Event / Dressage Prospect",19500,5,16.3,"Horsequest"
"376","Top Quality Homebred",15000,7,16.1,"Horsequest"
"377","3y/o Connemara x Tb gelding",6000,3,15.3,"Horsequest"
"378","Super fun allrounder",2950,5,14,"Horsequest"
"379","Quality Eventing Prospect",5250,6,16,"Horsequest"
"380","Top Class WHP, Allrounder, Junior Event Horse",6000,4,15,"Horsequest"
"381","ELITE WILD CHILD FILLY",12500,1,16.3,"Horsequest"
"382","FLASHY YOUNG SHOWJUMPER",10000,7,16.3,"Horsequest"
"383","Handsome Allrounder",10000,12,16.2,"Horsequest"
"384","Hunting / Competition Horse",4950,12,15.3,"Horsequest"
"385","Eventing Schoolmaster",8000,14,16,"Horsequest"
"386","Eventer / Show Jumper / Working Hunter",18000,9,17,"Horsequest"
"387","3* Event horse looking for Dressage home",12000,12,16.1,"Horsequest"
"388","QUALITY YOUNGSTER FOR SJ / EVENT / WH",4500,4,16.1,"Horsequest"
"389","KIEF AMAZING MARCO",15000,3,16.3,"Horsequest"
"390","Cosmo",6000,6,14.2,"Horsequest"
"391","RICK",7000,12,16.3,"Horsequest"
"392","Failoo",10500,10,17.2,"Horsequest"
"393","D’ARTAGNAN Z",18000,7,16.1,"Horsequest"
"394","Ultimate Star",20000,7,16.3,"Horsequest"
"395","PERFECT BE GRASSROOTS / RC / PC / NSEA / ALLROUNDER",15000,7,16.2,"Horsequest"
"396","Beautiful dressage mare by Woodlander Rockstar",18000,10,16.2,"Horsequest"
"397","Stunning Dressage Mare",7800,4,16,"Horsequest"
"398","Top Class Sport Horse",4500,2,16,"Horsequest"
"399","Potential event prospect",6250,4,16.2,"Horsequest"
"400","Top Class Eventing/SJ/Dressage Prospect - Burghley young event horse prospect",10000,3,16.1,"Horsequest"
"401","LSV MERCRUISIOUS (Ollie)",3000,8,16.2,"Horsequest"
"402","Matthias - Stunning AES Registered Rising 4yo",6500,4,16,"Horsequest"
"403","Exceptional Yearling Gelding - a sort hard to find",2850,1,16.1,"Horsequest"
"404","***TOP CLASS 3YO OBOS QUALITY X DOUGLAS***",7500,3,15.3,"Horsequest"
"405","THE ULTIMATE POCKET ROCKET",10000,8,15.1,"Horsequest"
"406","Schoolmaster showjumper",17000,12,16.1,"Horsequest"
"407","Super Smart Dressage Mare",12500,10,16.3,"Horsequest"
"408","Super consistent and competitive!",16750,7,16.1,"Horsequest"
"409","Thorneyside Casino",6950,10,14.3,"Horsequest"
"410","Teenagers Dream Horse",22000,8,15.2,"Horsequest"
"411","COMPETITIVE ALLROUNDER / SHOW JUMP",4000,11,15.2,"Horsequest"
"412","SMALL HUNTER / INTERMEDIATE SH / SPORT HORSE",8000,4,15.2,"Horsequest"
"413","Clinton I x Grannex mare infoal for 2021",3500,6,16,"Horsequest"
"414","Top Class Event prospect - serious advanced potential",17500,5,16.1,"Horsequest"
"415","Eyecatching 4yr old 15hh",5000,4,15,"Horsequest"
"416","Stunning filly",4000,3,15.3,"Horsequest"
"417","Superb Belgian Warmblood Showjumper",20000,8,16.2,"Horsequest"
