"advert_name","advert_price","advert_height"
"Rosalind - gorgeous 4yo mare","£","15 hands"
"Pretty 3yo anglo arab mare.","£","15.2 hands"
"Tricoloured Trakehner X Cob","£ 4,000","15.2 hands"
"Stunning 4 year old registered welsh a mare","£ 850","11.3 hands"
"Quality Registered Connemara","£ 3,250","14.2 hands"
"Spectacular Amateur Irish Sports Mare","£ 4,500","16.1 hands"
"Irish Draft Filly","£ 5,000","15.3 hands"
"Lovely 4 year old part Arab mare","£ 2,500","14.3 hands"
"Fulbeck First Knight","£ 2,000","12 hands"
"Irish Sport Horse","£","16.2 hands"
"PRINCE A MILLION","£ 2,500","14.3 hands"
"13hh cob mare","£ 1,200","13 hands"
"Superbly bred coloured gelding","£ 2,999","16.1 hands"
"Striking 3yr Welsh D filly","£ 4,500","14.2 hands"
"Registered Welsh cob section B","£ 1,950","13.1 hands"
"Pretty 4year old mare","£ 2,000","0 hands"
"Young horse with potential","£ 1,400","14.2 hands"
"Stunning Dun Andalusian","£ 4,900","15.2 hands"
"SUPER CUTE MARE AND FOAL","£ 3,500","15.2 hands"
"*** HW SHOW COB ***","£","15.1 hands"
"TOP QUALITY WELSH SECTION C","£ 1,750","13.2 hands"
"Young horse with great potential","£ 5,000","0 hands"
"3YO Gelding Eristoff van de Zuuthoeve (DARCO) x Thunder van de Zuuthoeve (ARGENTINUS)","£ 4,950","16.3 hands"
"Friendly & Bombproof Young Cob mare","£ 1,500","13.1 hands"
"Stunning 16.1hh 2016 gelding","£ 3,950","16.1 hands"
"*** MAXI COB ***","£","15.3 hands"
"Flashy Southmoor mare","£ 700","12.1 hands"
"Sold! congratulations To Ashleigh","£ 2,500","15.3 hands"
"Lovely Sligo Candy BoyxCassini 3yo filly","£ 2,750","16.1 hands"
"Coloured cob for sale","£","13 hands"
"3 year old standardbred SOLD","£ 1,750","15.1 hands"
"Sold *** MAXI COB ***","£","15.3 hands"
"Sold ***Coloured/Working /Small Hunter ***","£","15.2 hands"
"Sold ***LIGHTWEIGHT SHOW COB ***","£","15.1 hands"
"Misses V !","£ 3,500","16.3 hands"
"13,2hh to make 14hh+ 3yrs cob mare","£ 1,600","13.2 hands"
"Welsh X mare, future pony club/riding club/allrounder","£ 750","13 hands"
"**SOLD** I have more TB’s coming in all the time","£ 1,750","16 hands"
"AQHA Gorgeous 2016","£","15.1 hands"
"Outstanding homebred Eventing/Dressage/Showing Rising 4 year old Gelding.","£ 3,500","16.1 hands"
"Smart blue and white Pintaloosa Appaloosa gelding 14.2hh","£ 3,500","14.2 hands"
"3year old mare","£ 2,650","14.2 hands"
"*** Lightweight Cob ***","£","15 hands"
"Midi Shetland mare","£ 500","9 hands"
"Dora - potential event horse","£ 4,750","15.2 hands"
"Dun Connemara x TB","£ 4,250","14.1 hands"
"4 YO Sports Horse Mare","£ 3,200","16 hands"
"Potential WHP show pony or FEI dressage","£ 2,750","13.3 hands"
"15.3 HH Mare and still growing","£ 2,500","15.3 hands"
"OUTSTANDINGLY TALENTED 14.2hh CONNEMARA GELDING","£ 5,250","99.9 hands"
"3 British Bred Performance Horses-Totally Unspoiled","£","16.1 hands"
"2013 MARE DIARADO X ALGOT X RALME Z","£ 7,000","16 hands"
"VINCENT-A TOP QUALITY UNIQUE CONNEMARA","£","14.2 hands"
"'WISH UPON A STAR'- YOUNG SHOWJUMPER","£ 8,000","16.1 hands"
"UNBELIEVABLE TALENT, TOP SJ/EVENT PROSPECT","£ 12,500","16.2 hands"
"'DELILAH', TALENTED & SUPER SAFE 2013 MARE","£ 23,000","16.2 hands"
"STUNNING GELDING WITH TOP CLASS BLOODLINES!","£","16.3 hands"
"14.1HH CONNEMARA BY LEÁG GREAT COMPEITION AND HUNTING PONY","£ 6,500","14.1 hands"
