"advert_name","advert_details","advert_price"
"Super riding club allrounder","Welsh Part BredSkewbaldGelding13 years16.1 hands","£4,950"
"Recipient / Surrogate Mares WANTED","",""
"Geniaal x Ferro gelding 167cm","167 cm","POA"
"De Niro x Sandro Hit mare","Mare4 years166 cm","£20,000"
"Dolphins Rising Star","Connemara Part BredGreyFilly1 years15 hands","£4,500 ono"
"Lissyegan Lad ""Benji""","Connemara Part BredGelding3 years15.1 hands",""
"Butlers Cravat","Steel greyGelding4 years16.2 hands","£6,000"
"Super Talented 4 year old Gelding","","£8,000"
"AMATEURS DREAM","IrishGelding8 years16.3 hands",""
"SUPER 15HH MARE","Mare6 years15 hands","£8,500"
"ALDI","Steel greyGelding6 years16 hands",""
"Lockdown Luna","","£4,995"
"Stunning Chestnut Gelding","Sport HorseChestnutGelding13 years15.3 hands","£6,500 ovno"
"***TOP CLASS 4YO IRISH DRAUGHT MARE***","Irish DraughtGreyMare4 years15.2 hands","£4,500"
"Quality Event Prospect","Irish Sports HorseBayGelding8 years16.3 hands","£9,800"
"Talented 6yo Gelding by Kasanova de la Pomme","Belgian WarmbloodChestnutGelding6 years16.3 hands","£10,000 oiro"
"Stunning 5yr old","HanoverianBrownGelding5 years17 hands","£30,000"
"Brooke","GreyMare4 years","£10,000"
"Allrounder / Hunter","Irish DraughtGelding10 years16.1 hands","£7,000"
"Indy May","CobColouredMare3 years16.2 hands","£7,000"
"Innovania","KWPNBayMare7 years16.2 hands","£25,000 neg"
"WAVERTON HOUSE UNAFFILIATED ODE","",""
"MERLLYN'S MERMAID JC TO MAKE TOP 148 SHOWJUMPER QUALIFIED FOR WINTER JC RI 2020","Irish Sports PonyGrey roanMare8 years14.2 hands (LHC)","POA"
"16.3hh gelding by Obos quality","BayGelding6 years16.3 hands",""
"TOP QUALITY HOMEBRED BY MYLORD CARTHAGO","British WarmbloodChestnutMare3 years15.3 hands","£9,000 ONO"
"World class show jumping breeding","Dutch WarmbloodBayGelding10 years17.1 hands","£22,500 oiro"
"Total Schoolmistress","Irish Sports HorseChestnutMare12 years15.2 hands","£13,000"
"Stunning 15.3 gelding","Dutch WarmbloodBlackGelding18 years15.3 hands","£4,250 ono"
"By Breitling LS","KWPNBayMare6 years16.2 hands","£17,500"
"Unbelievable Homebred Mare","ISH / WBBayMare8 years16.2 hands","£7,500"
"By Ultimo","KWPNBlackGelding8 years17 hands","£16,500"
"Wanted 16 to 16.2 heavyweight cob gelding","",""
"HOMEBRED 2YR OLD BY ZINEDINE","British WarmbloodBayFilly2 years",""
"ROCKY","IrishGelding6 years14.2 hands","£5,000"
"BY ARKO III","Sport HorseBayColt","£8,500"
"3* Eventer for Advanced / 4*","Irish Sports HorseBright bayGelding9 years16.3 hands","POA"
"Cracking prospect for showing / dressage / event","Irish Sports HorseBrownFilly3 years15 hands","£4,250 ono"
"DEFINITELY THE GEORGE CLOONEY OF THE HORSE WORLD!","Gelding8 years16.2 hands",""
"Smart Quality Sport Horse Gelding","Sport HorseSkewbaldGelding14 years17 hands","£6,000 ono"
"GUINNESS","Irish Sports HorseBayGelding4 years15.2 hands","£7,000"
"Beautiful 15.1hh Allrounder","Arab Part BredBayGelding12 years15.1 hands (LHC)","£5,850"
"Top class yearling for sale","Sport HorseBayFilly1 years16.1 hands","£3,500 ono"
"INTERNATIONAL JUNIOR / YOUNG RIDER TEAM PROSPECT WITH GP IN SIGHT!","Gelding10 years16.2 hands",""
"WATERMILL SWATCH","BayGelding8 years16.1 hands",""
"Fun Fab Event Mare","Sport HorseBlackMare10 years16.1 hands","£12,000 ono"
"Hunter / Team chaser / All rounder","ISH / WBGreyGelding11 years17 hands","£4,000"
"Jumping Jerry","ThoroughbredBayGelding5 years15.1 hands","£4,600 ono"
"Potential top eventer","BayMare5 years16 hands","£9,000"
"POLLY","IrishBayMare5 years15.1 hands","£5,500"
"Competition Prospect","Sport HorseGreyGelding6 years16.2 hands","£5,000 ono"
"Genuine blagdon cob","Gelding5 years15 hands","£6,000"
"16.2 Gelding by challenge (lucky boy)","Gelding5 years16.2 hands",""
"Connemara x ish","Connemara Part BredGrey roanFilly2 years14.2 hands","£3,000 ono"
"Amazing 4yr old mare","Sport HorseBayMare4 years16.2 hands","£15,000"
"Quality Young Horse","ID x TBChestnutGelding3 years16.1 hands","£6,000 ono"
"Experienced event horse 'LORD CLOVER'","Irish Sports HorseChestnutGelding11 years16 hands","£25,000 ovno"
"SUPER RISING 3 YR OLD AMOUR G / FERRO / KOSTOLANY LINES","British WarmbloodChestnutGelding2 years16 hands","£9,500 ono"
"COOKIE","CobGelding6 years14 hands","£5,000"
"Future HOYS Maxi Cob","Irish DraughtChestnutGelding3 years15.3 hands","£4,700"
"Fantastic All-Rounder","ThoroughbredBayMare14 years15.3 hands","POA"
"MOJITO KW","AndalusianBayGelding2 years15.1 hands","£1,550 offers"
"TOP QUALITY SHOW JUMPERS / EVENTERS","Gelding4 years",""
"15.3hh 8 year old chestnut gelding for sale","Irish Sports HorseChestnutGelding8 years15.3 hands","£9,000 ovno"
"Super Safe Reliable Schoolmistress","IrishSkewbaldMare10 years15.3 hands","£7,950"
"Wanted Horse to Event","",""
"Bay, mare, 16.2hh, Conny X Warmblood, 5 yrs old","Connemara Part BredBayMare5 years16.2 hands","£6,000"
"153cm Roan Connemara Gelding","ConnemaraBay roanGelding9 years15 hands","€8000"
"9yr old potential 5 star event horse or jumper","Bay9 years",""
"HER NAME SAYS IT ALL!!","Mare7 years16.3 hands",""
"Top Show Hunter / Eventer Potential","ID x TBBayGelding3 years16.2 hands","POA"
"Warmblood X Thoroughbred sport horse","British WarmbloodBayMare13 years16.2 hands",""
"Casino","IrishGreyMare4 years15.2 hands","£3,250"
"SJ / EVENTING PRSPECT","BayMare3 years16.1 hands","£6,750"
"Milly","Liver chestnutMare12 years16.1 hands","£5,950"
"Advanced event horse","BayGelding15 years16.1 hands","£18,000"
"15’1hh Super consistent, experienced & competitive Connie","ConnemaraGreyGelding16 years153 cm (LHC)","£16,000 oiro"
"Boycie","Dark brownGelding12 years16.2 hands","£3,500"
"Panda","CobBlackGelding13 years15 hands","£5,750"
"Maurice","ChestnutGelding6 years16.1 hands","£6,500"
"Stunning Dressage / Allrounder Horse","British WarmbloodDark bayGelding11 years16.3 hands","£7,995 neg"
"Super star dressage horse","New ForestDark bayGelding15 years14.2 hands","£7,500 ovno"
"128 ALLROUNDER / BS / WHP","",""
"Show jumper","WarmbloodGreyMare11 years16.1 hands","£12,000"
"Quality Gelding","KWPNBayGelding9 years16.2 hands","£15,000 ono"
"Event / Show Jump","WarmbloodBayMare8 years17 hands","£14,995 ono"
"Stunning warmblood mare","WarmbloodDark bayMare5 years17.1 hands","£5,950"
"Para schoolmaster horse wanted for 5* home","",""
"All rounder","ThoroughbredBayGelding6 years16.1 hands","£2,500 ono"
"Pretty Plot Blue Filly","British WarmbloodBayFilly1 years15.1 hands","£4,800"
"Absolutely Stunning","KWPNBayMare7 years161.5 cm","£22,000"
"**Amazing Badminton Grassroots Superstar**","Irish Sports HorseGreyGelding11 years16 hands","POA"
"Super Hunting/competition pony","ConnemaraGreyMare9 years14.3 hands","£6,500"
"*BACK FOR SALE DUE TO SERIOUS TIMEWASTER - Ri Qual - Amateurs Dream / All-round Fun Horse","Irish DraughtChestnutGelding8 years15.1 hands (LHC)","£7,500"
"Lightweight show cob","CobBayGelding4 years154 cm","£4,200"
"Competitive Amateurs Dream Dressage star","KWPNBayGelding3 years15.3 hands","£15,000 ono"
"Talented rising 4 year old","British WarmbloodBayGelding4 years16 hands","£12,000 ono"
"Pretty Bay Mare","ID x TBBright bayMare10 years16 hands","£9,250 neg"
"Quality Dressage / Eventer","Selle FrancaisChestnutGelding7 years16.1 hands","£7,000"
"A GREAT HORSE TO BE WITH","Irish Sports HorseColouredGelding15 years16 hands","£4,500"
"Super fun hunting and jumping mare","IrishGreyMare8 years15.1 hands","£9,000 ovno"
"TALENTED XC MACHINE","Irish Sports HorseBlackMare8 years15.1 hands","£20,000"
"WANTED 15 - 16HH FOR TEEN TO EVENT AT 100","",""
"Exclusive Eclipse","Sport HorseBlackGelding4 years16.2 hands","£15,000 ono"
"Super Safe Fun Horse","Irish DraughtBlackGelding10 years18 hands","£12,000 ono"
"Super FEI Prospect","OldenburgChestnutGelding4 years16.2 hands","£28,000"
"Stunning allrounder eventing prospect","TB xChestnutGelding6 years15.3 hands","£4,500 ono"
"Super straight delightful little chap","ThoroughbredChestnutGelding4 years16 hands","£4,000"
"Oliver Obolensky (CORNET OBOLENSKY X Argentinus) x HARLEY VDL","ZangersheideBayFilly2 years15.3 hands","£6,500 ono"
"Super Allrounder","Irish Sports HorseChestnutGelding8 years17 hands","£8,250 ono"
"Recently backed 3 yr old: San Amour - Tuschinski - Ferro","KWPNBlackMare3 years16.2 hands","£15,000"
"‘Ecuador W Z’ - Stunning and Kind 4 Year Old","ZangersheideDark bayGelding4 years16.2 hands","£12,500 ovno"
"Competition prospect for sale","Dutch WarmbloodChestnutGelding5 years16.2 hands","£7,000 ono"
"Grand Prix Potential","HanoverianBayMare8 years16.2 hands","£25,000"
"13h-13.1h pony wanted","",""
"One for the future","WarmbloodChestnutGelding4 years168 cm","£14,500 ono"
"Striking Showjumping Schoolmistress","HolsteinerChestnutMare16 years16.1 hands","£2,750 ovno"
"NOVICE HEAVYWEIGHT HUNTER","Irish Sports HorseDark bayGelding5 years17.1 hands","£12,000 neg"
"Cevin Z filly","Sport HorseFilly2 years16 hands","£4,000"
"Talented competition pony","Connemara Part BredBayGelding6 years15 hands","£10,000"
"3 year old Registered Connemara Filly","ConnemaraDunFilly3 years14.2 hands",""
"Future Star","ThoroughbredIron greyGelding3 years16.1 hands","£9,500"
"Top Class Small Hunter / Intermediate","Irish Sports HorseBayGelding12 years15.2 hands (LHC)","£12,000 ono"
"Outstanding Colt by For Treasure (For Pleasure x CarthargoZ)","HolsteinerGreyColtUnder 1","£15,000"
"PERFECT SCHOOLMASTER","WarmbloodChestnutGelding15 years16.1 hands","£20,000 ono"
"Selection of stunning Dressage foals for sale","Under 1","£8,000"
"Stunning Schoolmaster","WarmbloodBayMare17 years15.1 hands","£4,000 ono"
"VINTAGE EQUESTRIAN","",""
"Quality Eventer / Show jumper","TB xFleabitten greyGelding11 years15.3 hands","£12,000"
"Bred to Event","ISH / WBBayMare9 years16.2 hands","£7,000"
"Irish Draught / Irish Draught cross","",""
"Experienced grade B showjumper","Irish Sports HorseChestnutMare13 years16 hands","£8,000"
"Top Quality Handsome Allrounder with a Great Temperament","Irish Sports HorseChestnutGelding9 years17.2 hands","£9,500 ono"
"Top class horse on all levels","Irish Sports HorseDark bayGelding9 years16 hands","£35,000"
"Jasmine Diamond Mist","Irish DraughtChestnutMare10 years15.2 hands","£10,000 ono"
"U THE MAN","ZangersheideChestnutStallionUnder 1","£12,000"
"Classy and Sane Allrounder","Irish Sports HorseBayGelding10 years16.2 hands","£6,500"
"Gorgeous 8 year old Cob!","CobSkewbaldMare8 years14.2 hands","£2,600 ovno"
"YOUNG KWPN DRESSAGE HORSE","Dutch WarmbloodBayGelding5 years16.2 hands","£30,000"
"Extremely handsome & talented gelding by Bordeaux","HanoverianBayGelding5 years16.3 hands","£30,000 ovno"
"Beautiful 15.2hh 11 year old Bay mare","ISH / WBBayMare11 years15.2 hands (AHC)","SOLD!"
"Classiness I","WestphalianDapple greyGelding7 years17 hands","£20,000"
"Handsome Gentlemen with lovely movements","Belgian WarmbloodChestnutGelding9 years18 hands","£8,000"
"Ultimate schoolmaster","ChestnutGelding14 years17 hands",""
"Unspoilt Homebred 2yo","British WarmbloodBayFilly2 years16.2 hands","£15,000"
"Very talented Dressage / Show Jumping mare","Sport HorseChestnutMare10 years16.2 hands","£15,000"
"FLOWER DE GROZILLES","Mare9 years15.2 hands","£10,000 - £15,000"
"Lovely grey mare","ISH / WBGreyMare10 years16.2 hands","£7,650"
"Big horse bigger jump","Irish Sports HorseBayGelding12 years17.3 hands","£20,000"
"Stunning Young Event/Allrounder","IrishBlack5 years16 hands","£8,500 ono"
"the most beautiful Irish Draught gelding!","Irish DraughtChestnutGelding4 years16.2 hands","£7,950"
"PJ – stunning purebred Connemara gelding!","ConnemaraGreyGelding4 years150 cm","£5,950"
"TYNAN DAWN","Irish Sports HorseBayMare8 years17 hands","10000"
"purebred Irish Draught gelding!","Irish DraughtGreyGelding4 years16.2 hands","£7,950"
"Hoys winning small riding horse / intermediate / PBA","Arab Part BredBayFilly3 years15.1 hands","SOLD!"
"Nemo – supercob!","ColouredGelding5 years15 hands","£4,500"
"2016 German mare direct from breeder","Dark bayMare16.1 hands","£15,000"
"Superb Schoolmaster!","Irish Sports HorseBayGelding13 years15.1 hands","£13,500"
"Sane and sensible allrounder!","Irish Sports HorseGreyGelding10 years15 hands","£8,500"
"Lots of ability!","Connemara Part BredDunGelding5 years15.1 hands","£8,750"
"Amateurs dream!","Irish Sports HorseChestnutGelding8 years16.2 hands","£9,500"
"Toby - Top Event / showjumping prospect","BayGelding6 years16.3 hands","£10,500 ono"
"Class mare","British WarmbloodBayMare5 years16.1 hands","£6,950"
"IMPERIAL PLAN","ThoroughbredBayGelding10 years16.2 hands","POA"
"Harry","British WarmbloodBayGelding8 years16.2 hands","£6,995"
"130 SHOWJUMPER OUT OF INTERNATION SJ MARE, BY PARCO","WarmbloodBayGelding7 years16.2 hands","£25,000 ono"
"FELOUPE","Mare10 years16.2 hands","POA"
"One in a Million","Irish Sports HorseBayMare8 years16.3 hands","£9,500"
"Talented & trainable!","KWPNBayGelding6 years17.2 hands","POA"
"Stunning Competition Horse","Sport HorseBright bayMare8 years16.1 hands","£9,950"
"TILLY BE COOL","SkewbaldFilly","£4,500"
"2yr old bay gelding","ID x TBBayGelding2 years16.1 hands","£6,500"
"Stunning Eventing Prospect with Wow factor","WestphalianBayFillyUnder 1","£6,800"
"Ozzie - Ultimate schoolmaster","WarmbloodGreyGelding11 years16.3 hands","£12,500 ono"
"Super Quality Mare","WarmbloodBayMare10 years15.3 hands","£7,000 neg"
"Extremely Talented Eventer","ChestnutGelding7 years17 hands","£15,000"
"Stunning 5 Y/O gelding","Irish Sports HorseBayGelding5 years17 hands","£11,000"
"Show Jump / Event","ChestnutGelding8 years16.1 hands","£8,500 ovno"
"Ballyard Harlequin","Irish Sports HorseBayGelding7 years16.3 hands","£15,000 ovno"
"Top Class Working Hunter","Irish Sports HorseChestnutMare8 years17 hands","£18,000"
"MONACO","BlackFilly","£7,500 neg"
"COEUR DE CASHAS x NIMMERDOR x CABRIO","ChestnutGelding5 years17.3 hands",""
"-Check it out-","Gelding5 years16.3 hands","£10,000"
"KWPN By Uphill / Cabochon (Just Arrived)","ChestnutGelding3 years16 hands",""
"Connemara x TB mare","Connemara Part BredBayMare9 years15.1 hands","£1,200 ono"
"Quality Young Competition Horse","Dark brownMare6 years16.3 hands","£25,000"
"PRE Stallion who loves to please.","AndalusianGreyStallion11 years16 hands","£23,000 ono"
"Quality Sports Horse","Sport HorseBayGelding1 years15.2 hands","£3,000 ono"
"HAILEY Z","ZangersheideBayGelding4 years","€2500 start price"
"KWPN By Spielberg / Carlton Hill (Just Arrived)","BayGelding3 years16.1 hands",""
"Headdon Hot Totty 2020","","£5,000"
"Target - Quality Cob","CobSkewbaldGelding15 years15.3 hands","£4,750"
"Super Quality ID Mare","Irish DraughtDapple greyMare6 years16 hands","£5,750 ono"
"Ready for 2020 5 year old age classes","Belgian WarmbloodBayMare5 years17.1 hands","POA"
"WANTED COMPETITIVE U18 EVENT HORSE / SCHOOLMASTER","",""
"Hakon","BayGelding8 years17 hands","£10,000"
"16.2 rising 7yo Zangersheid mare","ZangersheideBayMare7 years16.2 hands","£10,000"
"Tubbertelly Echo","Filly3 years16 hands","£4,000"
"Striking gelding","TB xChestnutGelding4 years16.1 hands","£4,000"
"Stunning Schoolmaster","WarmbloodBayGelding17 years16.2 hands","£2,500 neg"
"Super all rounder","IrishColouredGelding11 years15.2 hands","SOLD! Very similar avail"
"Bay Colt by Condor","BayColt","£3,000"
"4yo LW Cob grey mare","CobGreyMare154 cm","£8,000"
"Bay Filly by Condor","BayFilly","£3,500"
"Smart colt by Condor","","£3,000"
"KWPN By High Five / Apache (Just Arrived)","BlackGelding3 years16 hands","£15,000"
"Super-scopey, totally genuine Eventer or Top Showjumper","Irish Sports HorseBayGelding10 years17.2 hands","£30,000"
"Filly by Kobaldy","Filly","£3,000"
"Flashy Filly","ChestnutFilly","£4,250"
"INTERMEDIATE RIDING TYPE WORKER","BayGelding5 years","£3,500 ovno"
"KWPN By Dettori (Just Arrived)","BayGelding3 years16.2 hands",""
"Part bred ID gelding","GreyGelding6 years15.2 hands","£10,000 offers"
"Stunning PRE Gelding","AndalusianGreyGelding13 years16 hands","£5,500 ono"
"Schoolmaster / confidence giver / riding club","IrishBayGelding9 years16.3 hands","SOLD!"
"One in a million","WarmbloodChestnutMare9 years16.1 hands","£16,750 ono"
"Dressage Prospect","ThoroughbredBayGelding11 years16.2 hands","£4,000 ono"
"SUCCESSFUL TALENTED ADVANCED EVENTER","GreyGelding10 years16.2 hands","£40,000"
"Southills Anastasia","Welsh Part BredBayMare7 years15 hands","£3,500"
"Potential Dressage / Event by Royaldik","Sport HorseBright bayMare4 years17 hands","£6,000"
"Lovely project horse","Irish Sports HorseGreyGelding8 years17 hands","£4,000"
"Unbacked hombred 3 yr old","Sport HorseChestnutMare3 years16.2 hands","£10,000 ono"
"Outstanding Dressage Colt","HanoverianBlackColtUnder 1","£10,000"
"Flashy 7yo Grey Gelding","ZangersheideDapple greyGelding7 years17.2 hands","£22,000"
"Selection of Youngstock not to be missed!","","Priced between £3000 - £6000"
"Top Class Ladies Hunter / Small Hunter / Intermediate SH / I.D Sports horse","ID x TBBayGelding11 years158 cm (LHC)",""
"Beautiful, Coloured Cob Mare","CobPiebaldMare4 years13.2 hands","£950 ovno"
"**** MSJ Quiana ****","WestphalianBayMare9 years16.3 hands","£25,000 ovno"
"Small Hunter","Irish DraughtGreyMare4 years154 cm (AHC)","POA"
"Quality Dressage Yearling Colt","HanoverianDark bayColt1 years16.2 hands","£8,500"
"Lovely Event type","Mare5 years16.1 hands","£7,500"
"Attractive Event / Show jumper","ThoroughbredBright bayGelding7 years15.2 hands","£6,500 ono"
"Stunning Novice Event Horse","Irish Sports HorseBayGelding10 years17 hands","£20,000"
"EXCITING FUTURE HORSE","Irish Sports HorseBayGelding4 years16.2 hands","£7,000 ono"
"Potential Novice/U18 Eventer","Sport HorseSkewbaldMare7 years16 hands","£20,000"
"Headdon Swan Song","","£5,000 ono"
"Chantilly Lace","TobianoMare8 years14.1 hands","£1,750 ONO"
"Ballet Hopefull SHB","ChestnutMare12 years16.1 hands",""
"Global Promise","Irish Sports HorseIron greyMare7 years16.1 hands","£45,000 oiro"
"Heart of gold","Sport HorseDark bayMare8 years15.2 hands (LHC)","£12,000 ono"
"FABIENNE 507 - TOP LEVEL PROSPECT","BrownMare7 years16.2 hands","£65,000"
"EUPHORIE - THE ULTIMATE SCHOOLMISTRESS","BrownMare8 years17 hands","£50,000"
"Hulahupe JR","ChestnutGelding8 years16.1 hands","POA"
"MOLLY","BayMare4 years16.1 hands","£5,300"
"True gent","BayGelding8 years17 hands","£15,000 offers"
"Don’t be Heartbroken and miss out...","Irish Sports HorseBayGelding9 years16.1 hands","£6,750"
"Double Pleasure","Stallion6 years148 hands",""
"Hardrock z (heartbreaker)x Clinton x Libero h(2017)gelding","BayGelding3 years16.3 hands",""
"Amelusina 58","Gelding15 years16.2 hands","£5,500"
"BANKSY (PROJECT or could happily live as a companion!)","Dark bayGelding6 years15.1 hands","£1,200"
"Event / Show Prospect","BayMare3 years157 cm","£6,000"
"Stunning 3 year old filly","Irish Sports HorseChestnutFilly3 years16 hands","£15,000"
"Attractive chap that will turn his hoof to anything","Irish Sports HorseDapple greyGelding7 years16.3 hands","£8,250 ono"
"Amateur Riders Dream","Irish Sports HorseBayGelding6 years16.2 hands","£12,000"
"LOCARNO 62","",""
"Miami D","BayGelding3 years16 hands","£8,500"
"Gorgeous 3 year old future eventer","Irish Sports HorseBayFilly3 years16.1 hands","£14,000 offers"
"He has it all!","KWPNBayGelding4 years16.1 hands (LHC)","£25,000"
"Lady","Mare15 years16.3 hands","£4,750 ono"
"Proper Irish Gelding","Irish Sports HorseBayGelding3 years16.1 hands","£4,000"
"ROYAL ROSE","",""
"DELHURENS UPSEY DAISY","Sports PonyChestnutMare11 years15.1 hands","£18,500 ono"
"Exciting Irish 3 yr old","Irish Sports HorseBayGelding3 years16.3 hands",""
"Super Cob","CobPiebaldGelding4 years14 hands","£4,550"
"15.2hh Striking Piebald Mare","Sport HorsePiebaldMare8 years15.2 hands","£6,750"
"Beautiful 3 year old Connie X looking for the perfect home.","Connemara Part BredGreyMare3 years15.2 hands","£4,500"
"Wanted 15.2-16h Gelding","",""
"Established Elementary Dressage Horse","Irish Sports HorseBayGelding11 years16.2 hands","£9,950 ono"
"Stunning 3 year old mare by Bernhard","Irish Sports HorseBayMare3 years15.2 hands","£5,950 ono"
"Grand Illusion","KWPNGreyGelding9 years17 hands","POA"
"Quality pure Reg Connemara Colt","ConnemaraGreyColt2 years",""
"Alouette Des Bois","Selle FrancaisBayMare10 years168 cm","£20,000 ono"
"Outstanding Riding Horse / Dressage Horse","British WarmbloodBayMare5 years15.2 hands (AHC)",""
"Love Scandel C.S","Gelding4 years16 hands","£9,000"
"Serious Junior / YR / Amateur Event Horse","Irish Sports HorseChestnutGelding5 years16 hands","£23,000"
"Absolutely outstanding","Welsh Part BredBayColtUnder 1","£2,650 ovno"
"Short Clough Master Class","Gelding7 years17 hands","£30,000"
"Roko","Irish Sports HorseChestnutGelding16.1 hands","£12,750 ONO"
"Beautiful int show hunter / working hunter","Irish Sports HorseSteel greyFilly3 years15.1 hands","£6,500"
"Super talented easy mare SJ / BD / BE","HanoverianBayMare7 years16 hands","£15,000 ono"
"TOP QUALITY HOMEBRED WITH HUGE POTENTIAL","British WarmbloodBayMare4 years17.1 hands","SOLD!"
"**Stunning Connemara**","ConnemaraGreyGelding3 years156 cm (AHC)","POA"
"One in a Million!","IrishBayGelding7 years16.1 hands (LHC)","£10,000 ono"
"Stunning Dressage / Sports colt","British WarmbloodChestnutColtUnder 1","£5,500"
"Super Allrounder / Working Hunter","Irish DraughtMare4 years15.2 hands","£6,000"
"Sales / Schooling Livery","",""
"Top Class very attractive 4 year old mare","Irish Sports HorseGreyMare4 years16 hands","POA"
"One for the Future","British WarmbloodDark bayGelding3 years16.2 hands","£20,000"
"Super flashy 4 year old Warmblood mare","British WarmbloodBayMare4 years16.2 hands","£3,000"
"Phenomenal jumper by Vangelis S","British WarmbloodDark bayColt2 years16.2 hands","£12,000"
"Unspoilt Homebreds","",""
"Quality Big Horse","Irish Sports HorseBayGelding7 years17 hands","£9,500 ono"
"Top Class Eventer / Working Hunter Prospect","Irish Sports HorseBayGelding6 years17 hands","£16,000 ovno"
"Quality Broodmare","WarmbloodBayMare14 years16 hands",""
"'Fil'","HanoverianBayGelding10 years16.1 hands","£10,000 ONO"
"Quality Irish Bred Competition Horse","Irish Sports HorseIron greyGelding6 years16.3 hands","£15,500"
"PAULDARY ZULU Striking AES Gelding","Sport HorsePiebaldGelding5 years15.3 hands","£4,500 ovno"
"STUNNING TALENTED COMPETITION HORSE","Irish Sports HorseBayMare6 years16.3 hands","£10,500 ovno"
"EXCEPTIONAL 5 YEAR OLD MARE","Belgian WarmbloodGreyMare5 years16 hands","£20,000"
"Top class prospect!!","Blue and whiteMare4 years16.2 hands","£7,000"
"Glenkeeran Ruby Cruz","Irish Sports HorseBayMare7 years16 hands","£28,000 oiro"
"Incognito","Dutch WarmbloodBlackGelding7 years16.2 hands","£28,000 oiro"
"OEC DRESSAGE WORLDWIDE CERANO-GOLD","KWPNChestnutGelding12 years16.1 hands",""
"FRED","BayGelding8 years16.1 hands","£7,995"
"Top working hunter / event prospect","ConnemaraGelding5 years15.2 hands","£7,500"
"IRISH SPORTS HORSE GELDING","Irish Sports HorseBayGelding4 years16 hands","£6,500"
"OEC DRESSAGE WORLDWIDE EXQUISITE","Dark bayGelding11 years16.2 hands",""
"Striking Coloured Gelding","Irish Sports HorseTobianoGelding11 years15.2 hands","£10,000"
"PAURIC","CobColouredGelding11 years15 hands","£4,850"
"POTENTIAL GRAND PRIX HORSE","OldenburgChestnutFilly1 years16.2 hands","£10,000 neg"
"Potential event horse","Irish Sports HorseChestnutGelding5 years16.1 hands","£6,500"
"Attractive Bay Gelding","Irish Sports HorseBayGelding7 years16.1 hands","POA"
"Stunning Irish Small Riding Horse","IrishBayGelding4 years15.2 hands","£5,250 ono"
